seminarID,sessionID,sessionType,startTime,endTime,presenter,presenterID,evaluator,evaluatorID
1,1,Oral,2pm,4pm,Sarah Connor,f47ac10b-58cc-4372-a567-0e02b2c3d479,Syed,bf193e04-febf-453c-9cb3-9320221b92cd
1,2,Poster,4pm,6pm,Sarah Connor,f47ac10b-58cc-4372-a567-0e02b2c3d479,Syed,bf193e04-febf-453c-9cb3-9320221b92cd
<<<<<<< HEAD
2,1,POSTER,2PM,4PM,TBD,TBD,TBD,TBD
3,1,POSTER,2PM,4PM,Deepa Raj,550e8400-e29b-41d4-a716-446655440000,Syed,bf193e04-febf-453c-9cb3-9320221b92cd
4,1,Oral,8am,10am,TBD,TBD,TBD,TBD
=======
2,1,POSTER,2PM,4PM,Ali Abu,a1b2c3d4-e5f6-4g7h-8i9j-k1l2m3n4o5p6,Syed,bf193e04-febf-453c-9cb3-9320221b92cd
3,1,POSTER,2PM,4PM,TBD,TBD,TBD,TBD
>>>>>>> 46c7d4084b49b86b7f1f93455d50ca83ad0375d6
